"Tobacco, sales and inventories, monthly production (x 1,000)" 1
"Monthly"
"Table: 16-10-0044-01 (formerly CANSIM 303-0062)"
"Geography: Canada"

"","Production","Total sales","Adjustments of total sales","Opening inventory","Closing inventory"
"","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2"
"Reference period","Canada","Canada","Canada","Canada","Canada"
"","Number",,,,
"January 2004","2,932,197","2,586,972","-340,826","3,411,355","3,415,754"
"February 2004","2,675,718","2,535,635","13,497","3,415,754","3,569,334"
"March 2004","3,208,140","3,154,586","185,937","3,569,334","3,808,825"
"April 2004","3,107,788","2,992,174","89,207","3,809,094","4,013,915"
"May 2004","3,185,678","3,241,380","77,622","4,013,915","4,035,835"
"June 2004","3,772,473","3,334,575","-149,515","4,035,835","4,324,218"
"July 2004","2,562,059","3,345,682","43,843","4,324,218","3,584,438"
"August 2004","3,238,115","3,444,878","119,531","3,584,438","3,497,206"
"September 2004","3,694,043","3,272,152","-284,056","3,497,207","3,635,042"
"October 2004","3,388,046","3,366,947","-60,877","3,635,042","3,595,264"
"November 2004","3,801,400","2,711,863","-219,305","3,595,264","4,465,496"
"December 2004","2,345,731","3,286,900","-206,160","4,465,496","3,318,167"
"January 2005","2,967,012","2,600,130","37,758","3,318,197","3,722,837"
"February 2005","3,071,744","2,729,526","-90,801","3,722,837","3,974,254"
"March 2005","3,364,751","2,914,081","150,575","3,974,254","4,575,499"
"April 2005","3,610,165","2,821,311","-333,622","4,575,499","5,030,731"
"May 2005","3,004,348","3,129,694","155,174","5,030,731","5,060,559"
"June 2005","3,423,538","3,510,770","105,077","5,060,559","5,078,404"
"July 2005","3,073,654","3,160,294","-406,351","5,078,404","4,585,413"
"August 2005","3,224,215","3,464,834","267,735","4,585,413","4,612,529"
"September 2005","3,282,396","3,175,082","33,800","4,610,753","4,751,867"
"October 2005","3,465,835","2,863,755","-297,462","4,751,867","5,056,485"
