Month,month_year,Year,cigarettes_sold_num,cigarettes_produced_num,opening_inventory,closing_inventory
January,January-01-2004,2004,2932197,2586972,3411355,3415754
February,February-01-2004,2004,2675718,2535635,3415754,3569334
March,March-01-2004,2004,3208140,3154586,3569334,3808825
April,April-01-2004,2004,3107788,2992174,3809094,4013915
May,May-01-2004,2004,3185678,3241380,4013915,4035835
June,June-01-2004,2004,3772473,3334575,4035835,4324218
July,July-01-2004,2004,2562059,3345682,4324218,3584438
August,August-01-2004,2004,3238115,3444878,3584438,3497206
September,September-01-2004,2004,3694043,3272152,3497207,3635042
October,October-01-2004,2004,3388046,3366947,3635042,3595264
November,November-01-2004,2004,3801400,2711863,3595264,4465496
December,December-01-2004,2004,2345731,3286900,4465496,3318167
January,January-01-2005,2005,2967012,2600130,3318197,3722837
February,February-01-2005,2005,3071744,2729526,3722837,3974254
March,March-01-2005,2005,3364751,2914081,3974254,4575499
April,April-01-2005,2005,3610165,2821311,4575499,5030731
May,May-01-2005,2005,3004348,3129694,5030731,5060559
June,June-01-2005,2005,3423538,3510770,5060559,5078404
July,July-01-2005,2005,3073654,3160294,5078404,4585413
August,August-01-2005,2005,3224215,3464834,4585413,4612529
September,September-01-2005,2005,3282396,3175082,4610753,4751867
October,October-01-2005,2005,3465835,2863755,4751867,5056485
November,November-01-2005,2005,3140783,3205976,5056485,5147538
December,December-01-2005,2005,2654662,3441805,5147538,4003933
January,January-01-2006,2006,2302406,2243835,4003933,4081505
February,February-01-2006,2006,2778209,2479568,4081505,3951096
March,March-01-2006,2006,2499460,2343905,3951096,3860410
April,April-01-2006,2006,2280742,2179266,3860410,3442773
May,May-01-2006,2006,2160048,2570828,3442773,2906337
June,June-01-2006,2006,2334257,2447757,2906337,2208923
July,July-01-2006,2006,1799850,2191462,2208923,1535384
August,August-01-2006,2006,1925677,2026782,1535384,1414015
September,September-01-2006,2006,1891155,1659780,1414015,1630026
October,October-01-2006,2006,1992399,1908206,1630026,1692773
November,November-01-2006,2006,2081538,1628408,1692773,2125874
December,December-01-2006,2006,1098942,1632174,2125874,1544275
January,January-01-2007,2007,1340301,1299789,1544275,1582501
February,February-01-2007,2007,1335121,1176032,1582501,1699833
March,March-01-2007,2007,1111453,1078460,1699832,1711171
April,April-01-2007,2007,1538435,1567359,1711171,1664292
May,May-01-2007,2007,1951655,1721670,1664292,1870710
June,June-01-2007,2007,1748191,1491889,1870710,2101503
July,July-01-2007,2007,1215844,1696198,2101503,1609126
August,August-01-2007,2007,1593183,1543894,1609126,1625418
September,September-01-2007,2007,1405175,1318284,1625418,1693406
October,October-01-2007,2007,1559976,1579999,1693406,1654554
November,November-01-2007,2007,1785177,1420338,1654554,2008630
December,December-01-2007,2007,1187291,1651799,2008630,1519227
January,January-01-2008,2008,1461478,1272531,1519227,1733269
February,February-01-2008,2008,1330264,1238644,1733269,1812677
March,March-01-2008,2008,1443605,1313921,1812677,1937811
April,April-01-2008,2008,1715296,1611215,1937811,2000555
May,May-01-2008,2008,1912013,1597972,2000555,2286667
June,June-01-2008,2008,1705120,1614044,2286667,2355633
July,July-01-2008,2008,1270621,1680543,2355633,1905900
August,August-01-2008,2008,1396651,1509406,1905900,1788002
September,September-01-2008,2008,1883097,1571728,1788002,2066968
October,October-01-2008,2008,1775924,1693434,2066968,2141471
November,November-01-2008,2008,1672566,1309710,2141471,2468104
December,December-01-2008,2008,1056168,1720482,2468104,1791114
January,January-01-2009,2009,1581209,1320020,1791114,2044644
February,February-01-2009,2009,1409088,1467071,2044644,1976238
March,March-01-2009,2009,1660612,1874764,1976238,1712794
April,April-01-2009,2009,1706208,1464744,1712794,1924711
May,May-01-2009,2009,1763390,1467612,1924711,2181773
June,June-01-2009,2009,1897136,1763945,2181773,2311914
July,July-01-2009,2009,1186496,1744863,2311914,1731775
August,August-01-2009,2009,1608292,1779045,1731775,1547856
September,September-01-2009,2009,2049342,1980274,1547856,1613938
October,October-01-2009,2009,2132535,1783358,1613938,1937512
November,November-01-2009,2009,2177225,1764617,1937512,2361825
December,December-01-2009,2009,1347957,1838923,2361825,1755646
January,January-01-2010,2010,1748304,1691018,1755646,1804478
February,February-01-2010,2010,1823877,1459973,1804478,2160125
March,March-01-2010,2010,2084835,2203580,2160125,2022169
April,April-01-2010,2010,2097143,1907087,2022169,2186752
May,May-01-2010,2010,1992203,1881017,2186752,2264513
June,June-01-2010,2010,2636636,2513228,2264513,2371159
July,July-01-2010,2010,1856695,1934300,2371159,2271548
August,August-01-2010,2010,2048491,1995493,2271548,2297839
September,September-01-2010,2010,1937091,1811240,2297839,2402958
October,October-01-2010,2010,1791801,1709285,2402958,2492483
November,November-01-2010,2010,1930908,1697942,2492483,2706769
December,December-01-2010,2010,1429117,2128112,2706769,1984000
January,January-01-2011,2011,1832250,1551233,1984000,2254017
February,February-01-2011,2011,1629084,1607685,2254017,2265778
March,March-01-2011,2011,1973125,1729115,2265778,2469713
April,April-01-2011,2011,1553652,1824399,2469713,2181023
May,May-01-2011,2011,1959661,2154743,2181023,1965024
June,June-01-2011,2011,2213079,1961032,1965024,2202013
July,July-01-2011,2011,1872596,1799739,2202013,2260286
August,August-01-2011,2011,2107134,1975365,2260286,2360900
September,September-01-2011,2011,1948643,1825318,2360900,2480368
October,October-01-2011,2011,1859876,1789841,2480368,2531542
November,November-01-2011,2011,1946798,1746602,2531542,2680480
